#wvl [um]      Flux [erg/s/cm]
20.65506049    4405.8476         
20.61248528    4795.04721        
20.57008522    3871.77562        
20.52785924    4491.88137        
20.48580626    4235.67774        
20.44392523    4255.00209        
20.4022151     4541.95599        
20.36067481    4041.12775        
20.31930334    4215.49981        
20.27809965    4651.30589        
20.23706273    4149.81502        
20.19619158    4389.29993        
20.15548517    4436.3571         
20.11494253    4579.93796        
20.07456266    4692.87561        
20.03434459    4610.97127        
19.99428735    4771.06039        
19.95438997    4091.3679         
19.91465149    4378.78648        
19.87507098    4492.44887        
19.83564749    4391.30976        
19.79638009    4763.07022        
19.75726785    4865.96738        
19.71830986    4741.10682        
19.6795052     4426.5083         
19.64085297    4795.68998        
19.60235228    4233.95051        
19.56400224    4974.10939        
19.52580195    5206.56097        
19.48775056    4651.50628        
19.44984718    4297.79828        
19.41209096    4346.14764        
19.37448104    5210.70575        
19.33701657    4659.47517        
19.29969672    4673.00238        
19.26252064    4605.72313        
19.2254875     4829.32769        
19.18859649    5009.7344         
19.15184679    5245.94349        
19.11523758    4846.71768        
19.07876806    5230.92259        
19.04243743    5173.94059        
19.00624491    4461.34025        
18.9701897     5090.54107        
18.93427103    4900.07994        
18.89848812    5129.25348        
18.8628402     5733.99027        
18.82732652    5262.99794        
18.79194631    5166.0861         
18.75669882    4936.4819         
18.72158331    4653.47079        
18.68659904    5371.05129        
18.65174527    5100.30073        
18.61702128    4805.19687        
18.58242633    4934.45013        
18.54795972    4698.51186        
18.51362074    5094.8423         
18.47940866    5174.89083        
18.44532279    5277.23812        
18.41136244    5195.63598        
18.37752691    5002.62345        
18.34381551    5622.68824        
18.31022757    5364.81775        
18.2767624     5421.64687        
18.24341934    5255.1159         
18.21019771    5470.24474        
18.17709686    4878.48374        
18.14411612    4916.0814         
18.11125485    5705.40857        
18.0785124     5310.99991        
18.04588812    5195.44761        
18.01338137    5794.69102        
17.98099152    5702.60326        
17.94871795    5034.43375        
17.91656002    5374.07352        
17.88451712    5707.19647        
17.85258863    5622.00613        
17.82077393    5246.0639         
17.78907243    5472.12265        
17.75748351    5949.45966        
17.72600658    5135.31297        
17.69464105    5431.59434        
17.66338632    5832.24253        
17.63224181    5611.78005        
17.60120694    5613.72792        
17.57028112    5715.25304        
17.53946379    5761.3952         
17.50875438    5448.77174        
17.47815231    6010.27763        
17.44765703    5662.1411         
17.41726798    5331.42865        
17.3869846     5320.07693        
17.35680635    5609.31555        
17.32673267    5568.43499        
17.29676303    5737.4516         
17.26689689    6029.82886        
17.23713371    5459.46006        
17.20747296    5700.99485        
17.17791411    6344.70332        
17.14845664    5809.25497        
17.11910002    5515.39495        
17.08984375    5608.95746        
17.0606873     6097.40697        
17.03163017    6848.84122        
17.00267185    5964.48353        
16.97381183    5584.2935         
16.94504962    5875.84665        
16.91638473    6230.10039        
16.88781665    5877.13165        
16.85934489    6193.97873        
16.83096898    6030.35786        
16.80268843    6401.87175        
16.77450276    6265.6536         
16.74641148    6440.45825        
16.71841414    5770.42213        
16.69051025    6534.03471        
16.66269936    5681.77435        
16.63498099    6046.90376        
16.60735469    5908.44885        
16.57981999    6121.80941        
16.55237645    6211.95741        
16.52502361    6697.98571        
16.49776102    6106.5972         
16.47058824    6016.06096        
16.44350482    6181.104          
16.41651032    7003.07827        
16.38960431    5971.46431        
16.36278635    6797.07206        
16.33605601    6013.64825        
16.30941286    6713.17034        
16.28285648    6175.53365        
16.25638644    6356.42817        
16.23000232    6105.41839        
16.2037037     6770.34425        
16.17749018    6750.54739        
16.15136133    6722.3632         
16.12531675    6249.03498        
16.09935603    6203.11334        
16.07347876    6723.54327        
16.04768455    6456.08945        
16.02197299    6368.39555        
15.99634369    6200.64926        
15.97079626    6389.88277        
15.9453303     7056.2968         
15.91994542    7241.69742        
15.89464124    6887.84658        
15.86941737    6651.18727        
15.84427343    6669.49039        
15.81920904    7192.37589        
15.79422383    6524.47726        
15.76931741    6410.42767        
15.74448943    6505.30759        
15.7197395     6466.29924        
15.69506726    7262.45632        
15.67047235    7110.15464        
15.6459544     6731.51511        
15.62151306    6542.28022        
15.59714795    7003.43446        
15.57285873    6550.43209        
15.54864505    6561.34458        
15.52450654    6874.20098        
15.50044287    7108.21589        
15.47645368    6902.40698        
15.45253863    6718.8645         
15.42869738    6663.73104        
15.40492958    7584.37332        
15.38123489    7002.26566        
15.35761299    6884.7346         
15.33406353    6851.08754        
15.31058618    7534.04304        
15.28718061    7596.83661        
15.26384649    7187.46106        
15.2405835     7394.82824        
15.2173913     7607.28319        
15.19426959    7558.87004        
15.17121803    6715.47491        
15.14823631    7192.03968        
15.12532411    7368.50547        
15.10248112    7218.22855        
15.07970702    7844.09995        
15.05700151    7039.63071        
15.03436426    7263.81061        
15.01179498    7314.28658        
14.98929336    7060.69292        
14.9668591     7201.13899        
14.94449189    7398.92183        
14.92219143    7032.91805        
14.89995743    7029.92668        
14.87778959    7122.19335        
14.85568761    7188.03024        
14.8336512     7292.78882        
14.81168007    7395.01424        
14.78977393    7247.18003        
14.76793249    8119.91368        
14.74615547    8349.18014        
14.72444257    7693.74406        
14.70279353    7726.68152        
14.68120805    7331.25127        
14.65968586    7628.4208         
14.63822668    7330.32275        
14.61683024    8471.69107        
14.59549625    7416.85893        
14.57422444    8574.1551         
14.55301455    7757.44441        
14.53186631    7491.47935        
14.51077944    7418.42366        
14.48975367    7516.40086        
14.46878876    7497.67499        
14.44788442    7868.18129        
14.4270404     7425.68848        
14.40625643    7496.27712        
14.38553226    7963.11464        
14.36486764    8030.43919        
14.3442623     7524.60821        
14.32371598    7683.18636        
14.30322844    8145.96822        
14.28279943    8758.99342        
14.26242869    8949.38935        
14.24211597    7643.34986        
14.22186103    8611.13292        
14.20166362    7473.57512        
14.1815235     7831.12748        
14.16144042    7758.72769        
14.14141414    7982.51978        
14.12144442    7878.14978        
14.10153102    9061.33851        
14.08167371    8088.53428        
14.06187224    8623.33894        
14.04212638    8464.63481        
14.0224359     7980.12819        
14.00280056    7894.21353        
13.98322014    7912.23806        
13.96369439    7941.83891        
13.94422311    8929.32184        
13.92480605    8894.50504        
13.90544299    8003.55961        
