#wvl [um]      Flux [erg/s/cm]
16.44350482    6181.01921        
16.41651032    7032.47761        
16.38960431    5975.53217        
16.36278635    6820.57028        
16.33605601    6016.80914        
16.30941286    6716.98238        
16.28285648    6171.88516        
16.25638644    6357.67243        
16.23000232    6107.93227        
16.2037037     6793.86203        
16.17749018    6764.43846        
16.15136133    6718.87847        
16.12531675    6246.6687         
16.09935603    6205.26042        
16.07347876    6716.96934        
16.04768455    6457.45863        
16.02197299    6367.48814        
15.99634369    6204.95798        
15.97079626    6389.31184        
15.9453303     7075.19661        
15.91994542    7438.6112         
15.89464124    6899.46521        
15.86941737    6654.3542         
15.84427343    6666.65863        
15.81920904    7222.95774        
15.79422383    6520.89748        
15.76931741    6414.38454        
15.74448943    6501.90981        
15.7197395     6466.64187        
15.69506726    7333.10407        
15.67047235    7106.02825        
15.6459544     6731.20742        
15.62151306    6537.11861        
15.59714795    7006.00265        
15.57285873    6551.98603        
15.54864505    6563.2234         
15.52450654    6871.88153        
15.50044287    7104.87739        
15.47645368    6899.56161        
15.45253863    6720.83055        
15.42869738    6667.57327        
15.40492958    7590.86919        
15.38123489    7000.90603        
15.35761299    6881.97162        
15.33406353    6849.28268        
15.31058618    7551.36213        
15.28718061    7612.1165         
15.26384649    7184.65933        
15.2405835     7401.33641        
15.2173913     7616.63771        
15.19426959    7553.7418         
15.17121803    6725.65243        
15.14823631    7187.87342        
15.12532411    7366.50865        
15.10248112    7218.25218        
15.07970702    7864.24175        
15.05700151    7039.37686        
15.03436426    7264.07175        
15.01179498    7309.20069        
14.98929336    7063.10368        
14.9668591     7197.71841        
14.94449189    7392.22709        
14.92219143    7031.40489        
14.89995743    7023.90272        
14.87778959    7123.08297        
14.85568761    7191.56861        
14.8336512     7289.96868        
14.81168007    7393.63508        
14.78977393    7250.01549        
14.76793249    8144.52913        
14.74615547    8365.84647        
14.72444257    7696.35152        
14.70279353    7723.85531        
14.68120805    7330.29772        
14.65968586    7628.40442        
14.63822668    7330.59015        
14.61683024    8475.32122        
14.59549625    7420.45988        
14.57422444    8695.9033         
14.55301455    7754.46007        
14.53186631    7493.28953        
14.51077944    7413.28042        
14.48975367    7515.1132         
14.46878876    7501.872          
14.44788442    7879.17073        
14.4270404     7421.6772         
14.40625643    7498.89931        
14.38553226    7952.39094        
14.36486764    8028.90736        
14.3442623     7525.25714        
14.32371598    7679.4572         
14.30322844    8220.38926        
14.28279943    8791.79706        
14.26242869    9060.02642        
14.24211597    7646.95973        
14.22186103    8754.57466        
14.20166362    7475.15131        
14.1815235     7828.57249        
14.16144042    7761.45213        
14.14141414    7989.07591        
14.12144442    7876.55561        
14.10153102    9396.12606        
14.08167371    8097.20714        
14.06187224    8686.91228        
14.04212638    8611.4759         
14.0224359     8012.39456        
14.00280056    7938.55633        
13.98322014    7966.35686        
13.96369439    7972.40766        
13.94422311    9369.11612        
13.92480605    9374.88296        
13.90544299    8021.88913        
13.8861337     8399.81009        
13.86687797    8137.09034        
13.84767557    8087.37584        
13.82852627    8147.06073        
13.80942987    8795.8066         
13.79038613    9007.45089        
13.77139485    8119.8728         
13.7524558     9037.19237        
13.73356877    8198.25143        
13.71473354    8279.28294        
13.69594991    8116.07579        
13.67721766    9107.68142        
13.65853659    8467.08274        
13.63990647    9225.46303        
13.62132711    9175.56528        
13.60279829    8206.68205        
13.58431981    9101.85005        
13.56589147    9057.46948        
13.54751306    8284.70526        
13.52918438    8718.82292        
13.51090523    8447.7355         
13.4926754     8722.34578        
13.47449471    8203.57063        
13.45636294    8449.84709        
13.4382799     8526.91625        
13.4202454     8297.2067         
13.40225924    9108.41734        
13.38432122    9433.85805        
13.36643116    9385.71736        
13.34858886    9313.61116        
13.33079413    8632.19197        
13.31304679    8541.56815        
13.29534663    8386.38543        
13.27769347    8970.60292        
13.26008714    8774.16434        
13.24252743    8843.68175        
13.22501417    8631.36409        
13.20754717    9452.48514        
13.19012625    10337.3778        
13.17275122    8923.72144        
13.15542191    8851.96607        
13.13813814    8657.18351        
13.12089972    9119.4333         
13.10370648    9382.77243        
13.08655824    9678.3694         
13.06945482    9492.04918        
13.05239605    9859.43716        
13.03538175    8583.7808         
13.01841175    9126.11344        
13.00148588    10239.6225        
12.98460397    9184.73838        
12.96776584    9158.90472        
12.95097132    9414.7701         
12.93422025    10061.8574        
12.91751246    9237.57676        
12.90084777    9622.55871        
12.88422603    10935.8137        
12.86764706    9433.75522        
12.8511107     9440.21946        
12.8346168     9288.97941        
12.81816517    9461.57167        
12.80175567    9759.10861        
12.78538813    9347.45639        
12.76906239    9871.90621        
12.75277828    9093.06861        
12.73653566    9321.02209        
12.72033436    10639.0551        
12.70417423    10790.1913        
12.6880551     9450.74448        
12.67197683    10278.9086        
12.65593925    9592.48997        
12.63994222    9544.29792        
12.62398557    9597.81418        
12.60806916    10114.8259        
12.59219284    9177.12809        
12.57635645    10676.8247        
12.56055984    9551.54114        
12.54480287    9802.22151        
12.52908538    9850.14703        
12.51340722    9181.46472        
12.49776826    10451.0996        
12.48216833    9963.74876        
12.4666073     10818.3108        
12.45108502    9282.2157         
12.43560135    9989.0743         
12.42015614    10421.9502        
12.40474925    9514.4973         
12.38938053    9346.48951        
12.37404985    9321.94039        
12.35875706    12110.6986        
12.34350203    11086.8676        
12.32828461    10309.3598        
12.31310466    10201.8789        
12.29796205    12407.6232        
12.28285664    9682.72463        
12.26778829    9613.39957        
12.25275687    9750.71188        
12.23776224    10526.8998        
12.22280426    10621.3289        
12.2078828     11641.4666        
12.19299774    10864.7498        
12.17814892    13122.1991        
12.16333623    10790.8477        
12.14855953    10249.8137        
12.13381869    11526.6086        
12.11911357    10354.9398        
12.10444406    10495.3146        
12.08981002    10320.6942        
12.07521132    9735.23294        
12.06064783    10964.0141        
12.04611943    11598.0616        
12.03162599    10797.1027        
12.01716738    11052.2492        
12.00274348    10366.4599        
11.98835417    12266.8399        
11.97399932    10076.2052        
11.9596788     11442.7911        
11.94539249    12211.1202        
11.93114028    11489.071         
11.91692203    11020.195         
11.90273763    10260.2044        
11.88858696    10669.4432        
11.87446989    11792.1916        
11.86038631    10745.3623        
11.8463361     13500.3793        
11.83231913    11318.5095        
11.8183353     10218.632         
11.80438449    12300.911         
11.79046657    11322.2304        
11.77658143    10312.9551        
11.76272895    10913.9045        
11.74890903    10030.7268        
11.73512154    10317.7869        
11.72136638    10046.7838        
11.70764342    10699.702         
11.69395256    12641.7778        
11.68029368    11978.2816        
11.66666667    13323.84          
11.65307142    10177.3928        
11.63950782    12985.6405        
11.62597575    10322.6412        
11.61247512    10600.651         
11.5990058     12222.4317        
11.58556769    12969.6294        
11.57216069    10867.8927        
11.55878468    11076.735         
11.54543955    10336.2776        
11.53212521    11859.8356        
11.51884153    12915.1543        
11.50558843    14019.3776        
11.49236579    12429.3093        
11.4791735     12416.6082        
11.46601147    12410.5216        
11.45287958    10655.5438        
11.43977774    12461.1776        
11.42670584    11452.9634        
11.41366379    13949.8712        
11.40065147    13166.0758        
11.38766878    11309.0533        
11.37471563    14185.707         
11.36179192    12431.6397        
11.34889754    13420.2974        
11.33603239    13252.6135        
11.32319638    10711.7686        
11.3103894     11825.9772        
11.29761136    13733.8697        
11.28486216    13308.2802        
11.27214171    11002.9017        
11.2594499     11828.3567        
11.24678663    11798.6523        
11.23415182    11719.9813        
11.22154537    12899.221         
11.20896717    12575.7185        
11.19641715    13409.7548        
11.18389519    11267.5827        
11.17140121    12568.9311        
11.15893512    12065.6304        
11.14649682    13587.6345        
11.13408621    12307.8449        
11.12170321    12343.8782        
11.10934772    14630.6027        
11.09701966    14237.0317        
11.08471892    11627.638         
11.07244543    10513.7593        
11.06019908    12126.5872        
11.0479798     11518.2434        
11.03578748    10974.5184        
11.02362205    11287.7615        
11.0114834     12133.2399        
10.99937146    11725.1019        
10.98728614    11258.485         
10.97522734    10937.1883        
10.96319499    14067.1476        
10.95118899    13268.7703        
10.93920925    10893.4627        
10.9272557     12638.6977        
10.91532824    14627.0924        
10.90342679    13793.8995        
10.89155127    12411.3025        
10.87970159    11467.7739        
10.86787766    12350.4045        
10.8560794     11737.1051        
10.84430674    12698.0027        
10.83255958    12654.3746        
10.82083784    15158.5107        
10.80914145    15179.3717        
10.79747031    14981.6827        
10.78582435    12218.1598        
10.77420348    15056.881         
10.76260763    11934.8511        
10.75103671    13840.5961        
10.73949064    13214.7191        
10.72796935    12481.4209        
10.71647275    11202.8706        
10.70500076    15281.1101        
10.69355332    15506.7987        
10.68213032    14400.0631        
10.67073171    12870.1045        
10.65935739    12353.3667        
10.6480073     14135.3337        
10.63668136    12647.1303        
10.62537948    13677.7403        
10.61410159    13599.9391        
10.60284762    14462.5625        
10.59161749    12500.4719        
10.58041112    12255.7365        
10.56922845    13032.4795        
10.55806938    14127.6619        
10.54693386    14071.184         
10.53582179    12695.8839        
10.52473312    15219.8241        
10.51366777    14560.1558        
10.50262566    15317.8573        
10.49160671    12643.3713        
10.48061087    12377.7534        
10.46963805    15695.899         
10.45868818    12196.2762        
10.44776119    13820.5857        
10.43685702    12763.3913        
10.42597557    11844.9837        
10.4151168     12301.2127        
10.40428062    11822.5931        
10.39346696    14941.5373        
10.38267576    12088.8925        
10.37190695    14362.6434        
10.36116045    12746.2008        
10.3504362     15385.0674        
10.33973412    12913.6885        
10.32905415    12549.2233        
10.31839623    12888.2926        
10.30776027    13115.4583        
10.29714622    14759.1445        
10.286554      13006.3214        
10.27598356    12515.1233        
10.26543481    14515.8856        
10.25490771    17658.4929        
10.24440217    14330.6326        
10.23391813    15588.0526        
10.22345553    14169.5801        
10.2130143     14218.9545        
10.20259437    17020.5989        
10.19219569    16868.1187        
10.18181818    17337.4824        
10.17146178    13274.2464        
10.16112643    13795.5971        
10.15081206    15579.543         
10.14051862    16609.9845        
10.13024602    15682.8175        
10.11999422    16546.7684        
10.10976314    12996.3113        
10.09955273    14019.5945        
10.08936293    13500.0157        
10.07919366    15526.6091        
10.06904488    14802.5853        
10.05891651    13556.93          
10.0488085     14341.6819        
10.03872078    14309.5182        
10.0286533     14498.6228        
10.01860598    14287.5846        
10.00857878    14188.7642        
9.998571633    14973.2002        
9.988584475    14690.5795        
9.978617249    16220.1809        
9.968669895    13793.28          
9.958742353    14922.0377        
9.948834565    14333.6774        
9.938946472    15436.947         
9.929078014    14392.7148        
9.919229134    15627.9483        
9.909399773    12874.141         
9.899589874    12813.2974        
9.889799378    12454.2749        
9.880028229    14702.8682        
9.870276368    13115.9207        
9.860543739    13439.1522        
9.850830284    18079.3602        
9.841135948    15042.6552        
9.831460674    13992.2311        
9.821804406    13717.3636        
9.812167087    13757.1857        
9.802548663    14393.1314        
9.792949077    17232.854         
9.783368274    15674.968         
9.773806199    16252.2214        
9.764262798    18327.2247        
9.754738016    13982.8113        
9.745231797    15774.8166        
9.735744089    17538.0581        
9.726274837    15809.1638        
9.716823987    15738.2516        
9.707391485    14123.3806        
9.697977279    16634.5915        
9.688581315    15915.1865        
9.67920354     14793.8612        
9.669843901    16220.0275        
9.660502346    13823.8342        
9.651178823    15871.3929        
9.641873278    14426.4934        
9.632585661    14660.6762        
9.62331592     13820.5926        
9.614064002    15705.98          
9.604829857    15009.7905        
9.595613434    13878.2639        
9.586414681    15103.7675        
9.577233548    15183.535         
